자치구명,위반장소,위반일시
강남구, 건물,2022
강남구, PC방,2022
강남구, 휴게음식점,2022
강남구, PC방,2022
강남구, PC방,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 지하철역출입구,2022
강남구, 지하철역출입구,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 강남대로,2022
강남구, 건물,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 강남대로-미진플라자,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 강남역푸르지오건물,2022
강남구, 어린이집,2022
강남구, 어린이집,2022
강남구, 어린이집,2022
강남구, 건물,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 공원,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리(강남세브란스병원),2022
강남구, 건물,2022
강남구, 코엑스건물,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 코엑스건물,2022
강남구, 영동대로,2022
강남구, 코엑스건물,2022
강남구, 강남대로,2022
강남구, 도곡중학교금연거리,2022
강남구, 강남대로,2022
강남구, 도곡중학교금연거리(강남세브란스 옆),2022
강남구, 병원(강남세브란스 병원),2022
강남구, 병원(강남세브란스 병원),2022
강남구, 건물(삼성동 코엑스 옥상),2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 지하철역출입구,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 지하철역출입구,2022
강남구, 건물,2022
강남구, 강남대로,2022
강남구, 도곡중학교금연거리,2022
강남구, 병원,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리(강남세브란스 앞),2022
강남구, 영동대로,2022
강남구, 영동대로,2022
강남구, 영동대로,2022
강남구, 건물,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 버스정류장,2022
강남구, 휴게음식점,2022
강남구, 휴게음식점,2022
강남구, 휴게음식점,2022
강남구, 휴게음식점,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 강남대로,2022
강남구, 강남대로,2022
강남구, 강남대로,2022
강남구, 강남대로,2022
강남구, 강남대로,2022
강남구, 영동대로,2022
강남구, 영동대로,2022
강남구, 강남대로,2022
강남구, 강남대로,2022
강남구, 강남대로,2022
강남구, 도곡동금연거리,2022
강남구, 버스정류장,2022
강남구, 버스정류장,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 지하철역출입구,2022
강남구, 지하철역출입구,2022
강남구, 지하철역출입구,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 영동대로,2022
강남구, 지하철역출입구,2022
강남구, 지하철역출입구,2022
강남구, 도곡중학교금연거리,2022
강남구, PC방,2022
강남구, 지하철역출입구,2022
강남구, 지하철역출입구,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 도곡동금연거리,2022
강남구, 지하철역출입구,2022
강남구, 도곡동금연거리(강남세브란스병원),2022
강남구, 도곡동금연거리,2022
강남구, 도곡동금연거리,2022
강남구, 영동대로,2022
강남구, 영동대로,2022
강남구, 병원(강남세브란스 병원),2022
강남구, 병원(강남세브란스 병원),2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 영동대로,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 영동대로,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 건물(삼성동 코엑스 옥상),2022
강남구, 건물(삼성동 코엑스 옥상),2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 건물(삼성동 코엑스 옥상),2022
강남구, 영동대로,2022
강남구, 영동대로,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리(강남세브란스 옆),2022
강남구, 영동대로,2022
강남구, 건물,2022
강남구, 코엑스 옥상,2022
강남구, 건물-코엑스옥상,2022
강남구, 영동대로,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 강남대로,2022
강남구, 도곡중학교금연거리,2022
강남구, 병원,2022
강남구, 도곡중학교금연거리,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리(강남세브란스 옆),2022
강남구, 건물,2022
강남구, 강남대로(강남역1번출구),2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 어린이집,2022
강남구, 건물,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡동금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 병원,2022
강남구, 도곡중학교금연거리,2022
강남구, 교육기관,2022
강남구, 병원,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 건물(삼성동 코엑스 옥상),2022
강남구, 건물,2022
강남구, 영동대로,2022
강남구, 영동대로,2022
강남구, 청사,2022
강남구, 도곡중학교금연거리,2022
강남구, 지하철역출입구,2022
강남구, 지하철역출입구,2022
강남구, 지하철역출입구,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, PC방,2022
강남구, 도곡중학교금연거리(강남세브란스병원),2022
강남구, 휴게음식점,2022
강남구, 지하철역출입구,2022
강남구, PC방,2022
강남구, 지하철역출입구,2022
강남구, 도곡중학교금연거리(강남세브란스 옆),2022
강남구, 도곡중학교금연거리(강남세브란스 옆),2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리(강남세브란스 옆),2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리(강남세브란스병원),2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 강남대로,2022
강남구, 강남대로,2022
강남구, 강남대로,2022
강남구, 강남대로,2022
강남구, 어린이집,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 병원,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 병원,2022
강남구, 영동대로,2022
강남구, 도곡중학교금연거리,2022
강남구, 버스정류장,2022
강남구, 지하철역출입구,2022
강남구, 도곡중학교금연거리(강남세브란스병원),2022
강남구, 병원,2022
강남구, 병원,2022
강남구, 영동대로,2022
