시군구명,금연구역명,금연구역범위상세,금연구역구분,금연구역지정근거명,소재지도로명주소,소재지지번주소,관리기관명,위도,경도
은평구,S6 역촌역점(GS25),업소시설전체,"식품위생법에따른 식품접객업중휴게음식점,일반음식점,제과점                                                                      ",국민건강증진법제9조,"서울특별시 은평구 서오릉로 지하 63, 6호선 역촌역사무소 지하1층 1001호 (녹번동)",서울특별시 은평구 녹번동 144-69 6호선 역촌역사무소 지하1층 1001호,서울특별시 은평구청,37.6060390534,126.9229679463
은평구,9파발 5카롱,업소시설전체,"식품위생법에따른 식품접객업중휴게음식점,일반음식점,제과점                                                                      ",국민건강증진법제9조,"서울특별시 은평구 연서로 455, 536동 지하1층 104호 (진관동, 은평뉴타운 제각말)",서울특별시 은평구 진관동 92 은평뉴타운 제각말 536동 지하104호,서울특별시 은평구청,37.6373953656,126.9339150211
은평구,호야네 분식,업소시설전체,"식품위생법에따른 식품접객업중휴게음식점,일반음식점,제과점                                                                      ",국민건강증진법제9조,"서울특별시 은평구 증산로21길 46, 1층 (신사동)",서울특별시 은평구 신사동 29-28 1층,서울특별시 은평구청,37.5962877078,126.9098422691
은평구,지에스25 녹번퍼스트점,업소시설전체,"식품위생법에따른 식품접객업중휴게음식점,일반음식점,제과점                                                                      ",국민건강증진법제9조,"서울특별시 은평구 은평로 215, 1층 (녹번동)",서울특별시 은평구 녹번동 218 1층,서울특별시 은평구청,37.6014025276,126.9316976405
은평구,모찌야,업소시설전체,"식품위생법에따른 식품접객업중휴게음식점,일반음식점,제과점                                                                      ",국민건강증진법제9조,"서울특별시 은평구 은평로 18, 삼조빌딩 지층 (신사동)",서울특별시 은평구 신사동 29-23 삼조빌딩 지층,서울특별시 은평구청,37.5975540387,126.9102995778
은평구,자미당,업소시설전체,"식품위생법에따른 식품접객업중휴게음식점,일반음식점,제과점                                                                      ",국민건강증진법제9조,"서울특별시 은평구 진흥로1길 20, 1층 (역촌동)",서울특별시 은평구 역촌동 40-22 1층,서울특별시 은평구청,37.6021751524,126.9187934505
은평구,부부마카롱,업소시설전체,"식품위생법에따른 식품접객업중휴게음식점,일반음식점,제과점                                                                      ",국민건강증진법제9조,"서울특별시 은평구 응암로16길 18, 1층 (응암동)",서울특별시 은평구 응암동 397-210 1층,서울특별시 은평구청,37.5914077508,126.9194251864
은평구,GS25 은평수지점,업소시설전체,"식품위생법에따른 식품접객업중휴게음식점,일반음식점,제과점                                                                      ",국민건강증진법제9조,"서울특별시 은평구 연서로34길 33, 1층 (불광동)",서울특별시 은평구 불광동 146-5 1층,서울특별시 은평구청,37.6220336591,126.9295824038
은평구,금빛 도너츠,업소시설전체,"식품위생법에따른 식품접객업중휴게음식점,일반음식점,제과점                                                                      ",국민건강증진법제9조,"서울특별시 은평구 증산로15길 36, 1층 (신사동)",서울특별시 은평구 신사동 342-31 1층,서울특별시 은평구청,37.5902762474,126.9096660949
은평구,역촌떡볶이,업소시설전체,"식품위생법에따른 식품접객업중휴게음식점,일반음식점,제과점                                                                      ",국민건강증진법제9조,"서울특별시 은평구 역말로 36, 1층 (역촌동)",서울특별시 은평구 역촌동 59-26 1층,서울특별시 은평구청,37.6056497476,126.9143569808
은평구,(주)동원홈푸드 한국환경산업기술원 샌드프레소,업소시설전체,"식품위생법에따른 식품접객업중휴게음식점,일반음식점,제과점                                                                      ",국민건강증진법제9조,"서울특별시 은평구 진흥로 215, 한국환경산업기술원 연구본동 1층 (불광동)",서울특별시 은평구 불광동 613-2 한국환경산업기술원 1층 연구본동,서울특별시 은평구청,37.6098717913,126.9343249045
은평구,아이센스리그PC,업소시설전체,"식품위생법에따른 식품접객업중휴게음식점,일반음식점,제과점                                                                      ",국민건강증진법제9조,"서울특별시 은평구 응암로22길 22-1, 합도빌딩 3층 1,2호 (응암동)","서울특별시 은평구 응암동 402-5 합도빌딩 3층 1,2호",서울특별시 은평구청,37.5932429037,126.9206411156
은평구,GS25 S6상암DMC역2점,업소시설전체,"식품위생법에따른 식품접객업중휴게음식점,일반음식점,제과점                                                                      ",국민건강증진법제9조,"서울특별시 은평구 수색로 지하 175, 6호선 디지털미디어시티역 지하1층 (증산동)",서울특별시 은평구 증산동 223-27 S6 DMC역 지하1층,서울특별시 은평구청,37.5771614352,126.9019285629
